movie_title,gross,total_gross,theaters
The Nut Job 2: Nutty by Nature,28370522,28370522,4003
Rings,27793018,27793018,2931
Logan Lucky,27780977,27780977,3031
Home Again,27020284,27020284,3036
Resident Evil: The Final Chapter,26830068,26830068,3104
The House,25584504,25584504,3134
Gifted,24801212,24801212,2215
Three Billboards Outside Ebbing Missouri,24164629,54513740,1726
The Bye Bye Man,22395806,22395806,2220
Victoria & Abdul,22233285,22245070,1060
Rough Night,22105643,22105643,3162
My Little Pony: The Movie,21885107,21885107,2528
Leap!,21858070,21858070,2705
Sleepless,20783704,20783704,1803
Diary of a Wimpy Kid: The Long Haul,20738724,20738724,3174
Manchester by the Sea,20640332,47695371,1213
The Circle,20497844,20497844,3163
Baahubali 2: The Conclusion,20186659,20186659,425
Chips,18600152,18600152,2464
Assassins Creed,18232781,54647948,2996
Only the Brave,18181288,18343983,2577
Darkest Hour,18132857,56468410,1733
The Disaster Artist,17861795,21120616,1010
Mother!,17800004,17800004,2368
The Zookeepers Wife,17571660,17571660,1057
The Glass Castle,17273059,17273059,1461
Downsizing,17160674,24449754,2668
Flatliners,16883115,16883115,2552
Detroit,16790139,16790139,3007
The Shape of Water,15670177,63859435,2341
Moonlight,15365833,27854932,1564
The Case for Christ,14682684,14682684,1386
Wish Upon,14301505,14301505,2250
It Comes at Night,13985117,13985117,2533
Born in China,13873211,13873211,1508
Megan Leavey,13406304,13406883,1956
Father Figures,12885287,17501244,2902
The Founder,12786053,12786053,1115
All the Money in the World,12712380,25113707,2123
Battle of the Sexes,12638526,12638526,1822
Before I Fall,12241122,12241122,2346
Roman J. Israel Esq.,11851274,11962778,1669
Unforgettable,11368012,11368012,2417
Fantastic Beasts and Where to Find Them,11362002,234037575,4144
The Beguiled,10709995,10709995,941
Live by Night,10283585,10378555,2822
The Belko Experiment,10166820,10166820,1341
Thank You for Your Service,9536300,9536300,2083
Marshall,9468318,10051659,821
Rock Dog,9420546,9420546,2077
Arrival,8870040,100546139,3115
The Lost City of Z,8580410,8580410,866
The Promise,8224288,8224288,2251
A Cure for Wellness,8106986,8106986,2704
The Space Between Us,7885294,7885294,2812
Jackie,7490669,13960394,508
Gold,7227038,7227038,2166
Let There Be Light,7208088,7233471,774
I Am Not Your Negro,7123919,7123919,320
Beatriz at Dinner,7115854,7115854,683
Birth of the Dragon,6901965,6901965,1633
Silence,6823622,7100177,1580
The Snowman,6700035,6700035,1815
Collateral Beauty,6673543,31016021,3028
Same Kind of Different as Me,6394006,6423605,1362
Lowriders,6303560,6303560,365
Loving Vincent,6240935,6735118,218
Maudie,6171598,6170998,233
Just Getting Started,6034990,6069605,2161
All Saints,5802208,5802208,846
Suburbicon,5775178,5775178,2046
Paris Can Wait,5617731,5617731,447
The Man Who Invented Christmas,5575759,5676486,720
20th Century Women,5526783,5664764,650
Mollys Game,5377480,28780744,1708
